ID,Info,en,fi,sv,ma
tasksView.title,,Tasks,Tehtävät,Uppgiften,
tasksTableHeader.taskName,,Task name,Nimi,Uppgiftens namn,
tasksTableHeader.category,,Type,Tyyppi,Typ,
tasksTableHeader.status,,Status,Tila,Status,
tasksTableHeader.dueDate,,Due date,Eräpäivä,Deadline,
tasksTableHeader.priority,,Priority,Prioriteetti,Prioritet,
tasksTableHeader.assigned,,Assigned to,Käsittelijä,Hanterare,
tasksTableAction.editTask,,Edit task,Muokkaa tehtävää,Redigera uppgiften,
tasksTableAction.deleteTask,,Delete task,Poista tehtävää,Ta bort uppgift,
taskPriority.low,,Low,Ei kiireellinen,Inte bråttom,
taskPriority.normal,,Normal,Normaali,Normal,
taskPriority.high,,High,Kiire,Brådskande,
taskDialog.priority,,Priority,Prioriteetti,Prioritet,
taskDialog.subject,,Subject,Aihe,Ämne,
taskDialog.description,,Description,Asiakkaan tiedot,Kundupgifter,
taskDialog.dueDate,,Due date,Eräpäivä,Deadline,
taskDialog.assignedTo,,Assigned to,Käsittelijä ryhmä,Hanteraregrupp,
taskDialog.assignedUser,,User,Käyttäjä,Användare,
taskDialog.status,,Status,Tila,Status,
taskDialog.task,,Task,Tehtävä,Uppgiften,
taskDialog.category,,Type,Tyyppi,Typ,
taskDialog.source,,Source,Lähde,Källa,
task.priority.low,,Low,Ei kiireellinen,Inte bråttom,
task.priority.normal,,Normal,Normaali,Normal,
task.priority.high,,High,Kiire,Brådskande,
task.status.new,,New,Uusi,Nya,
task.status.open,,Open,Käsittelyssä,Läsning,
task.status.completed,,Completed,Tehty,Redo,
task.status.rejected,,Rejected,Hylätty,Övergiven,
task.form.review,,View completed form,Katso täytetty lomake,Review form,
task.form.feedback.manage,,Manage feedback,Hallita palautetta,Manage feedback,
task.created,,Created,Luotu,Skapad,
task.updated,,Updated,Päivitetty,Uppdaterad,
comments,,Comments,Kommentit,Meddelanden,
task.comments.external.createTask,,Create task before adding external comments,Luo tehtävä ennen ulkoisten kommenttien lisäämistä,Skapa uppgift innan du lägger till externa kommentarer,
task.comments.internal.createTask,,Create task before adding internal comments,Luo tehtävä ennen sisäisten kommenttien lisäämistä,Skapa uppgift innan du lägger till interna kommentarer,
task.attachments.createTask,,Create task before uploading attachments,Luo tehtävä ennen liitteiden lataamista,Skapa uppgift innan du laddar upp bilagor,
internalComments,,Internal comments,Sisäiset kommentit,Interna kommentarer,
externalComments,,External comments,Julkiset kommentit,Kundmeddelanden,
comment.store,,Save,Tallenna,Spara,
comment.add,,Add comment,Lisää kommentti,Skriv en kommentar,
comment.addInternal,,Add internal comment,Lisää sisäinen kommentti,Skriva en intern kommentar,
comment.addExternal,,Add public comment,Lähetä asiakkaalle viesti,Skriva ett meddelande till kunden,
comment.reply,,Reply,Vastaa,Ansvar,
taskButton.addTask,,Add task,Lisää tehtävä,Mer uppgift,
taskButton.refresh,,Check for new tasks,Tarkista uudet tehtävät,Sök efter nya uppgifter,
taskButton.accept,,Accept,Hyväksy,Acceptera,
taskButton.cancel,,Close,Takaisin,Avbryt,
table.body.emptyDataSourceMessage,,No data,Ei dataa,Ingen data,
table.body.filterRow.filterTooltip,,Filter,Suodatin,Filtrera,
table.body.deleteTooltip,,Delete,Poista,Radera,
table.body.editRow.deleteText,,Are you sure you want to delete this task?,Haluatko varmasti poistaa tämän tehtävän?,Är du säker på att du vill radera den här uppgiften?,
table.body.editRow.cancelTask,,Cancel,Peruuta,Avbryt,
table.body.editRow.saveTask,,Confirm,Tallenna,Spara,
table.header.actions,,,,,
table.pagination.labelDisplayedRows,,{from}-{to} of {count},{from}-{to} / {count},{from}-{to} av {count},
table.pagination.labelRowsPerPage,,Rows per page:,Riviä per sivu:,Rader per sida:,
table.pagination.firstPage,,First page,Ensimmäinen sivu,Första sidan,
table.pagination.previousPage,,Previous page,Edellinen,Färegående,
table.pagination.nextPage,,Next page,Seuraava,Nästa,
table.pagination.lastPage,,Last page,Viimeinen sivu,Sista sidan,
table.toolbar.search,,Search,Etsi,Söka,
table.toolbar.showColumnsTitle,,Show columns,Show columns,Show columns,
table.toolbar.addRemoveColumns,,Add or remove columns,Add or remove columns,Add or remove columns,
taskLink.title,,Task link,Lomake,Uppgiften link,
taskLink.button.open,,View related data,Asiakkaan antamat tiedot,Uppgifter som kunden lämnat,
taskLink.pdf.open,,PDF,PDF,PDF,
explorer.title,,Public feedback,Public feedback,Public feedback,
explorer.login,,Log in,Kirjaudu sisään,Logga in,
locale.fi,,Suomi,Suomi,Finska,
locale.sv,,Svenska,Ruotsi,Svenska,
locale.en,,English,Englanti,Engelska,
app.logout,,Log out,Kirjaudu ulos,Logga ut,
app.login,,Log in,Kirjaudu sisään,Logga in,
app.feedback,,Feedback,Palaute,Respons,
main.articles.all,,All Articles,,,
main.links.all,,All Links,,
main.services.all,,All Services,,
main.flows.all,,All Flows,,
main.debug,,Debug,,
main.compare,,Compare,,
main.decisions.all,,All Decisions,,
menu.dashboard,,Dashboard,Kojelauta,Grunduppgifter,
menu.profile,,Profile,Käyttäjän profiili,Användarens profil,
menu.tasks,,Tasks,Tasks,Tasks,
menu.evaluations,,Questionnaires,Kyselyt,Förfrågningar,
menu.forms,,Dialob,Dialob,Dialob,
menu.queues,,Queues,Queues,Queues,
menu.users,,Users,Käyttäjät,Användare,
menu.help,,Help,Ohjeet,Anvisningar,
menu.flow,,Wrench,Wrench,Wrench,
menu.processes,,Monitoring,Monitorointi,Övervakning,
menu.reports,,Reports,Raportointi,Rapportering,
menu.workflows,,Stencil services,Konfigurointi,Konfigurera,
menu.logout,,Log out,Kirjaudu ulos,Logga ut,
menu.workflowTags,,Workflow tags,Versiointi,Arbetsflödestaggar,
menu.publications,,Publications,Julkaisut,Offentliggörande,
menu.services,,Services,Palvelut,Tjänster,
menu.content,,Stencil,Stencil,Stencil,
menu.calendar,,Calendar,Kalenteri,Kalender,
menu.feedback,,Feedback,Palaute,Feedback,
menu.compose,,Compose,,
menu.pages,,Pages,,
menu.articles,,Articles,,
menu.links,,Links,,
menu.locales,,Languages,,
menu.migrations,,Migrations,,
menu.templates,,Templates,,
menu.flows,,Flows,,
menu.decisions,,Decisions,,
menu.debug,,Debug,,
menu.releases,,Releases,,
menu.compare,,Compare,,
front.intro.title,,Welcome!,Tervetuloa!,Välkommen!,
profile.title,,User Profile,Käyttäjän profiili,Användarprofil,
profile.user.name,,Name:,Nimi:,Namn:,
profile.user.email,,e-mail:,Sähköposti:,e-post:,
profile.user.role,,Role:,Rooli:,Roll:,
profile.user.phone,,Phone:,Puhelin:,Telefon:,
profile.app.version,,Application version:,Sovellusversio:,Applikationsversion:,
