footer.column2.title,client specfic footer,"Security and Prosperity","Turvallisuus ja Hyvinvointi","Säkerhet och Välstånd","Keselamatan dan Kemakmuran","Sigurnost i Prosperitet"
footer.column2.subtitle,client specfic footer,"Your retirement, our expertise — NordInvest helps your money work for you.","Eläkkeesi, asiantuntemuksemme — NordInvest saa rahasi työskentelemään puolestasi.","Din pension, vår expertis — NordInvest får dina pengar att arbeta för dig.","Your retirement, our expertise — NordInvest helps your money work for you.","Vaša penzija, naše iskustvo — NordInvest pomaže da vaš novac radi za vas."
footer.column3.title,client specfic footer,Quick links,Pikalinkkejä,Snabblänkar,Pautan pantas,Brzi linkovi
footer.column3.link.acessibility,client specfic footer,Accessibility statement,Saavutettavuus seloste,Tillgänglighetsförklaring,Kenyataan kebolehcapaian,Izjava o pristupačnosti
footer.column3.link.dataProtection,client specfic footer,Data protection,Tietosuoja,Dataskydd,Perlindungan data,Zaštita podataka
footer.column3.link.feedback,client specfic footer,Feedback and development ideas,Palautteet,Feedback och utvecklingsidéer,Maklum balas dan idea pembangunan,Povratne informacije i razvojne ideje
footer.column3.link.siteInfo,client specfic footer,Information about the site,Lisätieto tästä sivustosta,Information om webbplatsen,Maklumat mengenai tapak,Informacije o stranici
footer.column3.link.newsletter,client specfic footer,Subscribe to the newsletter,Tilaa uutiskirje,Prenumerera på nyhetsbrevet,Langgan surat berita,Pretplatite se na newsletter
footer.column4.title,client specfic footer,Contact,Contact,Contact,Contact,Contact
footer.column4.email,client specfic footer,"Email: info@nordInvest.com","Sähköposti: info@nordInvest.com","E-post: info@nordInvest.com","E-mel: info@nordInvest.com","Email: info@nordInvest.com"
footer.column4.phone,client specfic footer,Phone: 123 456 7890,Phone: 123 456 7890,Telefon: 123 456 7890,Telefon: 123 456 7890,Telefon: 123 456 7890
footer.column4.address,client specfic footer,Visiting address: 1234 Any Street MyTown,"Käyntiosoite: 1234 Suomentie 4, Suomi",Besöksadress: 1234 Any Street MyTown,Alamat lawatan: 1234 Any Street MyTown,Adresa za posjetu: 1234 Any Street MyTown
footer.column4.postalCode,client specfic footer,Postal code: 1234,Postinumero: 1234,Postnummer: 1234,Poskod: 1234,Poštanski broj: 1234
