ID,Info,en,fi,sv,my,bs
booleanValue.true,,Yes,Kyllä,Ja,Ya,Da
booleanValue.false,,No,Ei,Inga,Tidak,Ne
// -------------------- START CUSTOMER-SPECIFIC --------------------------,,,,#VALUE!,,
cust.inbox.message.sender-name.org-user,client spesfic msg,Info desk,Info,Infodisk,Meja maklumat,Info pult
cust.phone,client spesfic msg,Phone: 123 456 7890,Puhelin 123 456 7890,Telefon: 123 456 7890,Telefon: 123 456 7890,Telefon: 123 456 7890
cust.email,client spesfic msg,info@lifeDigital.com,info@lifeDigital.com,info@lifeDigital.com,info@lifeDigital.com,info@lifeDigital.com
// -------------------- CUSTOMER HEADER --------------------------,,,,#VALUE!,,
header.userIdentity.label,,You are logged in as,Kirjauduttu käyttäjänä,Inloggad som,Sedang masuk sebagai,Prijavljeni ste kao
document.title,client spesfic footer,DigiExpress,DigiExpress,DigiExpress,DigiExpress,DigiExpress
// -------------------- CUSTOMER FOOTER --------------------------,,,,#VALUE!,,
footer.column2.title,client spesfic footer,DigiExpress,DigiExpress,DigiExpress,DigiExpress,DigiExpress
footer.column2.subtitle,client spesfic footer,Open source platform for digitalisation services,Avoimen lähdekoodin alusta palvelujen digitalisointiin,Öppen källkodsplattform för digitaliseringstjänster,Platform sumber terbuka untuk perkhidmatan pendigitalan,Open-source platforma za usluge digitalizacije
footer.column3.title,client spesfic footer,Quick links,Pikalinkkejä,Snabblänkar,Pautan pantas,Brzi linkovi
footer.column3.link.acessibility,client spesfic footer,Accessibility statement,Saavutettavuus seloste,Tillgänglighetsförklaring,Kenyataan kebolehcapaian,Izjava o pristupačnosti
footer.column3.link.dataProtection,client spesfic footer,Data protection,Tietosuoja,Dataskydd,Perlindungan data,Zaštita podataka
footer.column3.link.feedback,client spesfic footer,Feedback and development ideas,Palautteet,Feedback och utvecklingsidéer,Maklum balas dan idea pembangunan,Povratne informacije i razvojne ideje
footer.column3.link.siteInfo,client spesfic footer,Information about the site,Lisätieto tästä sivustosta,Information om webbplatsen,Maklumat mengenai tapak,Informacije o stranici
footer.column3.link.newsletter,client spesfic footer,Subscribe to the newsletter,Tilaa uutiskirje,Prenumerera på nyhetsbrevet,Langgan surat berita,Pretplatite se na newsletter
footer.column4.title,client spesfic footer,DigiExpress info,DigiExpress info,DigiExpress info,Maklumat DigiExpress,DigiExpress info
footer.column4.email,client spesfic footer,Email: info@digiExpress.io,Sähköposti: info@digiExpress.io,E-post: info@digiExpress.io,E-mel: info@digiExpress.io,Email: info@digiExpress.io
footer.column4.phone,client spesfic footer,Phone: 123 456 7890,Phone: 123 456 7890,Telefon: 123 456 7890,Telefon: 123 456 7890,Telefon: 123 456 7890
footer.column4.address,client spesfic footer,Visiting address: 1234 Any Street MyTown,"Käyntiosoite: 1234 Suomentie 4, Suomi",Besöksadress: 1234 Any Street MyTown,Alamat lawatan: 1234 Any Street MyTown,Adresa za posjetu: 1234 Any Street MyTown
footer.column4.postalCode,client spesfic footer,Postal code: 1234,Postinumero: 1234,Postnummer: 1234,Poskod: 1234,Poštanski broj: 1234
// --------------------END CUSTOMER-SPECIFIC --------------------------,,,,,,
// ------------------- GAMUT GENERAL ----------------------,,,,,,
gamut.forms,,Forms,Lomake,Formulär,Borang,Obrasci
gamut.new-messages,,New messages,Uusi viesti,Nya meddelanden,Mesej baharu,Nove poruke
gamut.services,,Services,Palvelut,Tjänster,Perkhidmatan,Usluge
gamut.bookings,,Calendar reservations,Kalenteri varaukset,Kalenderreservationer,Tempahan kalendar,Kalendarske rezervacije
gamut.noValueIndicator,Use dash (-) only,-,-,-,-,-
gamut.noValueIndicatorColon,Use dash (-) only,-,-,-,-,-
gamut.textSeparator,Empty space only,,,,,
gamut.textSeparatorColon,Colon plus space used to separate text items,:,:,:,:,:
gamut.loading,,Your content is on the way,Sisältöä ladataan,Ditt innehåll är på väg,Kandungan anda sedang dalam perjalanan,Učitavanje sadržaja
// ------------------- GAMUT PUBLIC ----------------------,,,,#VALUE!,,
gamut.public.servicesHome,,Services home,Palvelut pääsivu,Tjänster hem,Perkhidmatan rumah,Usluge
gamut.public.forms.summary.button.backToServicesHome,,Back to Services Home,Takaisin Palvelut pääsivulle,Tillbaka till Tjänster Hem,Kembali ke Laman Utama Perkhidmatan,Povratak na usluge
// ------------------- GAMUT GENERAL BUTTONS --------------,,,,#VALUE!,,
gamut.buttons.login,,Log in,Kirjaudu sisään,Logga in,Log masuk,Prijava
gamut.buttons.logout,,Log out,Kirjaudu ulos,Logga ut,Log keluar,Odjava
gamut.buttons.search,,Search,Hae,Söka,Cari,Pretraga
gamut.buttons.cancel,,Cancel,Peruuta,Avboka,Batal,Otkaži
gamut.buttons.select,,Select,Valitse,Välja,Pilih,Odaberi
gamut.buttons.close,,Close,Sulje,Nära,Tutup,Zatvori
gamut.buttons.reply,,Reply,Vastaa,Svar,Balas,Odgovori
gamut.buttons.serviceSelect,,Our services,Palvelumme,Våra tjänster,Perkhidmatan kami,Naše usluge
gamut.buttons.attachment.add,,Add attachment,Lisää liite,Lägg till bilaga,Tambah lampiran,Dodaj prilog
gamut.buttons.sort-last-modified.offers,,Sort by last modified,Järjestä viimeksi muokattu mukaan,Sortera efter senaste modifiering,Isih mengikut terakhir diubah suai,
,,,,,,
// ------------------- GAMUT LOCALES ----------------------,,,,#VALUE!,,
gamut.locale.en,,English,Englanti,Engelska,Inggeris,Engleski
gamut.locale.fi,,Finnish,Suomi,Finska,Bahasa Finland,Finski
gamut.locale.sv,,Swedish,Ruotsi,Svenska,Bahasa Sweden,Švedski
gamut.locale.my,,Malay,Malaiji,Malajisk,Bahasa Melayu,Malajski
gamut.locale.bs,,Bosnian,Bosnia,Bosnian,Bahasa Bosnia,Bosanski
// ------------------- GAMUT SEARCH -----------------------,,,,#VALUE!,,
gamut.search.placeholder,,Search our services,Hae palvelua,Sök i våra tjänster,Cari perkhidmatan kami,Pretraga naših usluga
gamut.search.popover.title,,Search our site,Hae sivustolta,Sök på vår sida,Cari tapak kami,Pretraga naše stranice
gamut.search.popover.input.placeholder,,What are you looking for?,Mitä etsi,Vad letar du efter?,Apa yang anda cari?,Unesi pojam za pretragu
gamut.search.popover.allForms,,All forms,Kaikki lomakkeet,Alla former,Semua bentuk,Sve forme
gamut.search.popover.allPhones,,All phone numbers,Kaikki puhelin numerot,Alla telefonnummer,Semua nombor telefon,Svi brojevi telefona
gamut.search.popover.allLinks,,All links,Kaikki linkit,Alla länkar,Semua pautan,Svi linkovi
gamut.search.popover.allServices,,All services,Kaikki palvelut,Alla tjänster,Semua perkhidmatan,Sve usluge
gamut.search.results.allResults,,All results,Kaikki hakutulokset,Alla sökresultat,Semua keputusan,Svi rezultati
gamut.search.results.noResults,,No results,Ei hakutuloksia,Inga sökträffar,Tiada hasil,Nema rezultata
gamut.search.results.serviceLinks,,Services,Palvelut,Tjänster,Perkhidmatan,Usluge
gamut.search.results.formLinks,,Forms,Lomakkeet,Formulär,Borang,Obrasci
gamut.search.results.phoneLinks,,Phones,Puhelin,Telefon,Telefon,Telefoni
gamut.search.results.internalExternalLinks,,Links,Linkit,Hyperlänkar,Pautan,Linkovi
gamut.search.results.internalLinks,,Links,Linkit,Hyperlänkar,Pautan,Linkovi
gamut.search.results.externalLinks,,External links,Ulkoiset linkit,Externa länkar,Pautan luar,Eksterni linkovi
// ------------------- GAMUT ARTICLES  -----------------------,,,,#VALUE!,,
gamut.article.pagelinks.forms.title,,Forms,Lomakkeet,Formulär,Borang,Obrasci
gamut.article.pagelinks.otherlinks.title,,Links,Linkit,Länkar,Pautan,Linkovi
// -------------------- GAMUT FORMS ---------------------------,,,,#VALUE!,,
gamut.forms.formName,,Name,Lomakkeen nimi,Namn,Nama,Ime
gamut.forms.taskRefId,,Reference Id,Viitetunnus,Referens ID,Id Rujukan,Referentni broj
gamut.forms.started,,Started,Aloitettu,Startade,Bermula,Započeto
gamut.forms.attachments,,Attachments,Liitteet,Bilagor,Lampiran,Prilozi
gamut.forms.status,,Status,Tila,Status,Status,Status
gamut.forms.selectionUndefined,,Select,Select,,,
gamut.forms.status.OPEN,,In progress,Käsittelyssä,Pågår,Sedang berlangsung,U toku
gamut.forms.status.NEW,,Processing starts soon,Valmis käsittelyyn,Bearbetningen startar snart,Pemprosesan bermula tidak lama lagi,Obrada počinje uskoro
gamut.forms.status.COMPLETED,,Completed,Käsitelty,Avslutad,Selesai,Završeno
gamut.forms.status.REJECTED,,Rejected,Poistettu,Avvisad,Ditolak,Odbijeno
gamut.forms.status.DELEGATED,,Completed,Käsitelty,Avslutad,Selesai,Završeno
gamut.forms.status.TRANSFERRED,,In progress,Käsittelyssä,Pågår,Sedang berlangsung,U toku
